NumberOfHashFunctions, k, JaccardSimilarity
1000, 0, 100.0
1000, 1, 100.0
1000, 2, 100.0
1000, 3, 96.56
1000, 4, 84.35999999999999
1000, 5, 61.739999999999995
1000, 6, 41.24
1000, 7, 27.459999999999997
1000, 8, 12.780000000000001
1000, 9, 10.040000000000001
1000, 10, 7.2
1000, 11, 4.1000000000000005
1000, 12, 2.4200000000000004
1000, 13, 2.0
1000, 14, 1.1
1000, 15, 0.34
100, 0, 100.0
100, 1, 100.0
100, 2, 100.0
100, 3, 96.6
100, 4, 83.2
100, 5, 65.8
100, 6, 38.8
100, 7, 31.0
100, 8, 15.4
100, 9, 13.6
100, 10, 7.8
100, 11, 4.0
100, 12, 2.0
100, 13, 3.4
100, 14, 2.8
100, 15, 0.6
1, 0, 100.0
1, 1, 100.0
1, 2, 100.0
1, 3, 100.0
1, 4, 40.0
1, 5, 100.0
1, 6, 20.0
1, 7, 40.0
1, 8, 20.0
1, 9, 0.0
1, 10, 0.0
1, 11, 60.0
1, 12, 0.0
1, 13, 60.0
1, 14, 40.0
1, 15, 0.0
250, 0, 100.0
250, 1, 100.0
250, 2, 100.0
250, 3, 95.67999999999999
250, 4, 83.75999999999999
250, 5, 63.839999999999996
250, 6, 40.56
250, 7, 27.6
250, 8, 17.36
250, 9, 10.24
250, 10, 6.720000000000001
250, 11, 3.84
250, 12, 2.1599999999999997
250, 13, 2.48
250, 14, 1.8399999999999999
250, 15, 0.48
25, 0, 100.0
25, 1, 100.0
25, 2, 100.0
25, 3, 98.4
25, 4, 83.2
25, 5, 65.6
25, 6, 39.2
25, 7, 41.6
25, 8, 12.8
25, 9, 16.0
25, 10, 10.4
25, 11, 3.2
25, 12, 1.6
25, 13, 5.6
25, 14, 8.8
25, 15, 0.0
500, 0, 100.0
500, 1, 100.0
500, 2, 100.0
500, 3, 96.24000000000001
500, 4, 83.76
500, 5, 63.720000000000006
500, 6, 40.64
500, 7, 27.76
500, 8, 17.16
500, 9, 9.879999999999999
500, 10, 6.92
500, 11, 3.88
500, 12, 1.8799999999999997
500, 13, 1.8399999999999999
500, 14, 1.36
500, 15, 0.36
50, 0, 100.0
50, 1, 100.0
50, 2, 100.0
50, 3, 95.6
50, 4, 84.0
50, 5, 66.4
50, 6, 39.6
50, 7, 34.4
50, 8, 16.8
50, 9, 11.2
50, 10, 6.8
50, 11, 8.4
50, 12, 2.8
50, 13, 5.2
50, 14, 4.8
50, 15, 0.0
750, 0, 100.0
750, 1, 100.0
750, 2, 100.0
750, 3, 96.39999999999999
750, 4, 84.13333999999999
750, 5, 61.92002
750, 6, 39.68
750, 7, 26.079999999999995
750, 8, 13.919999999999998
750, 9, 9.41334
750, 10, 6.0
750, 11, 4.106668000000001
750, 12, 2.186668
750, 13, 1.6800000000000002
750, 14, 1.173336
750, 15, 0.26666660000000003
