NumberOfHashFunctions,k,JaccardSimilarity,error
1,0,100.0,0.0
1,1,100.0,0.0
1,2,100.0,0.0
1,3,80.0,-19.62536
1,4,100.0,20.000000000000007
1,5,60.0,0.0
1,6,60.0,21.897119999999997
1,7,60.0,20.000000000000004
1,8,40.0,18.35352
1,9,40.0,27.745363999999995
1,10,20.0,12.611767999999998
1,11,40.0,35.664112
1,12,40.0,37.2893452
1,13,0.0,0.0
1,14,60.0,58.7081384
1,15,40.0,39.26172
25,0,100.0,0.0
25,1,100.0,0.0
25,2,100.0,-0.3375999999999948
25,3,87.2,3.2000000000000024
25,4,61.6,1.3479999999999919
25,5,53.6,1.6000000000000032
25,6,32.8,1.0971199999999968
25,7,17.6,0.0
25,8,16.0,4.800000000000001
25,9,6.4,-2.4000000000000004
25,10,8.8,3.200000000000001
25,11,10.4,6.864112
25,12,9.6,4.799999999999999
25,13,4.8,2.9543559999999998
25,14,4.0,2.7081384
25,15,1.6,0.86172
50,0,100.0,0.0
50,1,100.0,0.0
50,2,100.0,0.0
50,3,85.6,3.599999999999995
50,4,58.0,-4.147999999999989
50,5,46.4,3.6000000000000014
50,6,31.2,-2.9028800000000006
50,7,19.6,-1.3323200000000028
50,8,13.6,1.9535199999999957
50,9,10.4,1.7453639999999977
50,10,7.2,2.7999999999999994
50,11,5.6,2.464112
50,12,6.4,4.4
50,13,5.2,3.6
50,14,4.0,3.1081384
50,15,2.4,1.66172
100,0,100.0,0.0
100,1,100.0,0.0
100,2,99.8,0.0
100,3,81.2,-2.2000000000000033
100,4,57.6,-1.8000000000000047
100,5,43.2,-0.1537999999999896
100,6,30.0,-0.5028799999999974
100,7,19.2,-0.5323200000000057
100,8,12.2,0.7535199999999944
100,9,7.4,1.1453639999999972
100,10,4.8,0.8117679999999994
100,11,4.8,1.864112
100,12,3.6,0.9999999999999998
100,13,3.6,2.4
100,14,2.0,0.8000000000000003
100,15,1.8,1.26172
250,0,100.0,0.0
250,1,100.0,0.0
250,2,99.84,-0.15999999999999662
250,3,80.32000000000002,-0.47999999999997556
250,4,61.2,2.240000000000002
250,5,44.56,0.9599999999999942
250,6,29.6,-0.6628799999999977
250,7,18.64,-0.29232000000000724
250,8,12.720000000000002,1.553519999999999
250,9,7.839999999999999,1.6799999999999988
250,10,5.520000000000001,1.8117680000000012
250,11,3.76,1.5041120000000001
250,12,3.04,1.4399999999999997
250,13,2.16,1.1943560000000004
250,14,1.84,0.8681383999999999
250,15,0.8,0.38172
500,0,100.0,0.0
500,1,100.0,0.0
500,2,99.8,-0.017600000000001625
500,3,80.35999999999999,-0.7746399999999909
500,4,57.08,0.6920000000000144
500,5,42.76000000000001,-0.2337999999999809
500,6,29.76,-0.38287999999999656
500,7,18.880000000000006,-0.2123200000000019
500,8,10.760000000000002,-0.8000000000000007
500,9,6.8,0.35999999999999943
500,10,4.159999999999998,-1.8318679906315083e-15
500,11,2.4400000000000004,-0.07999999999999957
500,12,2.12,0.6400000000000001
500,13,1.0,-0.24564399999999986
500,14,1.24,0.48
500,15,0.64,0.08000000000000007
750,0,100.0,0.0
750,1,100.0,0.0
750,2,99.92,0.06240000000001089
750,3,80.26668000000002,-0.8812799999999897
750,4,59.41334000000001,0.6133200000000161
750,5,43.06666,0.5661800000000028
750,6,29.73332000000001,0.5066600000000072
750,7,18.23998,0.2123600000000074
750,8,11.68,0.273519999999996
750,9,6.239998000000001,-1.9999999993774997e-06
750,10,4.373334,0.558435999999999
750,11,2.506666,0.05333399999999999
750,12,1.4933314000000002,0.05333280000000018
750,13,1.28,0.20768940000000025
750,14,1.0666680000000002,0.3881403999999998
750,15,0.8266677999999998,0.4083877999999998
1000,0,100.0,0.0
1000,1,100.0,0.0
1000,2,99.78,-0.03999999999999204
1000,3,81.74,1.539999999999992
1000,4,58.82000000000001,0.2480000000000046
1000,5,43.24,0.4462000000000047
1000,6,28.26,0.742879999999996
1000,7,19.84,1.307679999999994
1000,8,10.52,-0.08000000000000013
1000,9,6.24,-0.554636000000003
1000,10,3.76,-0.18000000000000013
1000,11,2.3200000000000003,0.14000000000000012
1000,12,1.6,0.20000000000000015
1000,13,1.14,-0.10564399999999993
1000,14,0.86,0.15999999999999992
1000,15,0.48,-0.0182800000000001
